rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,type,aroundhead,backhand,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,set,match_id,rally_id,rally_length
1,1,00:41:52,75367,1,0,3,long service,0.0,1,1.0,9,-0.3292682926829268,-1.4651041666666669,,,8,187.1,651.79,8,143.0,299.24,3,2,142,5
1,2,00:41:53,75399,1,0,2,smash,0.0,0,2.0,5,1.425609756097561,1.0543229166666663,,,8,135.0,218.04,8,187.1,654.84,3,2,142,5
1,3,00:41:54,75422,1,0,3,defensive shot,0.0,1,2.0,2,1.2390243902439029,-0.3565624999999999,,,8,236.5,695.23,8,176.5,259.88,3,2,142,5
1,4,00:41:54,75449,1,0,2,lob,0.0,1,1.0,3,1.170731707317073,1.5315104166666664,,,8,233.1,340.19,8,225.3,667.28,3,2,142,5
1,5,00:41:56,75488,1,0,3,smash,1.0,0,2.0,10,-1.5426829268292683,-1.0056770833333333,,,5,256.7,739.81,8,208.3,299.77,3,2,142,5
3,1,00:42:38,76765,1,2,3,long service,0.0,1,1.0,9,0.851219512195122,-1.446875,,,8,167.2,656.17,8,237.1,312.04,3,2,144,9
3,2,00:42:40,76816,1,2,2,drop,1.0,0,2.0,7,0.6426829268292682,0.4058333333333331,,,8,205.3,218.59,7,206.5,584.55,3,2,144,9
3,3,00:42:40,76821,1,2,3,push/rush,0.0,1,1.0,5,-0.925609756097561,-1.243177083333333,,,7,219.9,593.05,8,185.4,234.23,3,2,144,9
3,4,00:42:41,76853,1,2,2,clear,0.0,0,1.0,8,-0.8207317073170731,1.482135416666667,,,8,135.5,239.03,8,177.9,654.75,3,2,144,9
3,5,00:42:42,76882,1,2,3,smash,0.0,0,2.0,8,0.7317073170731707,-1.036875,,,8,131.7,719.52,8,155.5,323.21,3,2,144,9
3,6,00:42:43,76897,1,2,2,defensive shot,0.0,1,2.0,1,0.9353658536585364,0.6232291666666665,,,8,168.5,269.89,8,125.4,722.21,3,2,144,9
3,7,00:42:44,76923,1,2,3,net shot,0.0,1,2.0,2,1.30609756097561,-0.3788020833333334,,,8,228.2,630.42,8,198.9,272.64,3,2,144,9
3,8,00:42:45,76952,1,2,2,net shot,0.0,1,1.0,7,-0.3743902439024389,0.2119270833333333,,,8,241.5,340.26,8,210.1,622.31,3,2,144,9
3,9,00:42:45,76979,1,2,3,push/rush,0.0,0,2.0,8,-0.5670731707317073,-0.6172395833333333,,,7,176.5,533.7,6,252.9,338.04,3,2,144,9
7,1,00:44:01,79248,4,3,3,short service,0.0,1,2.0,8,0.2926829268292683,-0.5904166666666667,,,8,170.6,651.63,8,231.9,287.77,3,2,148,5
7,2,00:44:02,79276,4,3,2,net shot,0.0,1,2.0,7,-0.5158536585365855,0.2404166666666665,,,8,209.9,337.68,8,178.4,642.46,3,2,148,5
7,3,00:44:03,79301,4,3,3,lob,0.0,0,1.0,9,0.8743902439024389,-1.5333854166666665,,,7,146.5,563.49,8,163.1,292.11,3,2,148,5
7,4,00:44:04,79344,4,3,2,clear,1.0,0,1.0,3,1.2170731707317075,1.63796875,,,9,238.8,175.32,8,203.9,636.48,3,2,148,5
7,5,00:44:06,79391,4,3,3,smash,1.0,0,2.0,7,0.1926829268292684,-0.0163541666666665,,,5,280.2,753.31,8,202.9,249.89,3,2,148,5
9,1,00:45:07,81213,4,5,3,short service,0.0,1,2.0,8,-0.7585365853658537,-0.5823958333333333,,,8,184.7,648.7,8,139.8,294.35,3,2,150,6
